Content,Url
"Portaozinho de proteçao vem com extensor 
Medidas 70cm de portão + 20cm de extensor.
Usado poucas vezes
Interessados chamar no whatsapp 18996432556
with a Photo: https://www.facebook.com/photo/?fbid=2497115800635324&set=gm.9609925705790224&idorvanity=833864336729782",https://www.facebook.com/groups/833864336729782/permalink/9609925705790224/
"
with a Photo: https://www.facebook.com/photo/?fbid=9587120648043773&set=gm.9602901679825960&idorvanity=833864336729782",https://www.facebook.com/groups/833864336729782/permalink/9602901679825960/
"
with 3 Attachments: https://www.facebook.com/media/set/?set=pcb.9607139276068867&type=1",https://www.facebook.com/groups/833864336729782/permalink/9607139276068867/
"Quase foram atropelados  estão na barão centro de pres prudente
with a Facebook Post: https://www.facebook.com/mitiko.yamamoto.142/posts/pfbid02NeNbVuZS5D4uPAjXr7oFsrJGD7Ao4i6gKFosrZn8UaQfNPQBubQF8BcR2KquT6qGl",https://www.facebook.com/groups/833864336729782/permalink/9608255665957228/
"
with a Photo: https://www.facebook.com/photo/?fbid=9664769790278630&set=gm.9609733632476098&idorvanity=833864336729782",https://www.facebook.com/groups/833864336729782/permalink/9609733632476098/
"Procura-se o Faisca , quem o viu ou acolheu, por favor entre em contato, desapareceu no bairro Jardim São Lucas, próxima a escola Rozy brandao,
with a Facebook Post: https://www.facebook.com/groups/1411413429080945/permalink/3910140259208237/",https://www.facebook.com/groups/833864336729782/permalink/9609610135821781/
"
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9248639595241727/",https://www.facebook.com/groups/833864336729782/permalink/9608941805888614/
"
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9248639595241727/",https://www.facebook.com/groups/833864336729782/permalink/9609583522491109/
"
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9247493592022994/",https://www.facebook.com/groups/833864336729782/permalink/9609579995824795/
"
with a Facebook Post: https://www.facebook.com/groups/1482382102037212/permalink/4160199050922157/",https://www.facebook.com/groups/833864336729782/permalink/9609548252494636/
"
with a Facebook Post: https://www.facebook.com/groups/1482382102037212/permalink/4160199050922157/",https://www.facebook.com/groups/833864336729782/permalink/9609498709166257/
"
with a Facebook Post: https://www.facebook.com/fatima.ventura.54/posts/pfbid02C2PZYmpdT4vUpEU5Hr3W78CDermWe14zJbWXhZpvPkt29mBjpNUGYm7yWmGxuCMl",https://www.facebook.com/groups/833864336729782/permalink/9609395135843281/
"
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9237089926396694/",https://www.facebook.com/groups/833864336729782/permalink/9600140260102102/
"
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9204605119645175/",https://www.facebook.com/groups/833864336729782/permalink/9603062586476536/
"Por favor se alguém o viu oh acolheu, me chamem no zap 14 998074006
with a Facebook Post: https://www.facebook.com/groups/1258548524580449/permalink/2144697089298917/",https://www.facebook.com/groups/833864336729782/permalink/9606931909422937/
"Vamos ajudar a encontrar
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9224259377679749/",https://www.facebook.com/groups/833864336729782/permalink/9602600016522793/
"
with a Facebook Post: https://www.facebook.com/mitiko.yamamoto.142/posts/pfbid02NeNbVuZS5D4uPAjXr7oFsrJGD7Ao4i6gKFosrZn8UaQfNPQBubQF8BcR2KquT6qGl",https://www.facebook.com/groups/833864336729782/permalink/9608248445957950/
"
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9248169195288767/",https://www.facebook.com/groups/833864336729782/permalink/9608836055899189/
"
with a Facebook Post: https://www.facebook.com/groups/282544378488912/permalink/9515373735205884/",https://www.facebook.com/groups/833864336729782/permalink/9608876089228519/
"Vamos ajudar a encontrar tutor
with a Facebook Post: https://www.facebook.com/groups/789836304460978/permalink/9669721353139051/",https://www.facebook.com/groups/833864336729782/permalink/9608821072567354/
"
with a Facebook Post: https://www.facebook.com/veralucia.cassiano/posts/pfbid037NTcieFVi14eTRL1sAgf6jEHQkEZdNM2y7FAuCXBLqgvdo2QryAfUjBtj1cfmFGRl",https://www.facebook.com/groups/833864336729782/permalink/9608770509239077/
"
with a Facebook Post: https://www.facebook.com/veralucia.cassiano/posts/pfbid037NTcieFVi14eTRL1sAgf6jEHQkEZdNM2y7FAuCXBLqgvdo2QryAfUjBtj1cfmFGRl",https://www.facebook.com/groups/833864336729782/permalink/9608767605906034/
"Vamos ajudar
with a Reel: https://www.facebook.com/reel/696706622752242",https://www.facebook.com/groups/833864336729782/permalink/9602151906567604/
"
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9230648413707512/",https://www.facebook.com/groups/833864336729782/permalink/9590421404407321/
"
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9237089926396694/",https://www.facebook.com/groups/833864336729782/permalink/9597277197055075/
"
with a Facebook Post: https://www.facebook.com/groups/511016783195348/permalink/1467696417527375/",https://www.facebook.com/groups/833864336729782/permalink/9607414016041393/
"Nos liguem nos mandem mensagem no wtzp se achar q ele se puder nos mande uma foto nos ajudem trazer ele de volta pra casa 
(Toby pinsher marrom sumiu desde dia 10 quinta feira nas emediacoes do terceiro milênio porém foi visto por volta das 18.30.em frente ao condomínio bela vista do cobral cidade de Presidente Prudente )
18988219397",https://www.facebook.com/groups/833864336729782/permalink/9608005022648959/
"
with a Facebook Post: https://www.facebook.com/groups/282544378488912/permalink/9514501358626455/",https://www.facebook.com/groups/833864336729782/permalink/9607762362673225/
"
with a Facebook Post: https://www.facebook.com/groups/282544378488912/permalink/9514501358626455/",https://www.facebook.com/groups/833864336729782/permalink/9607740252675436/
"
with a Facebook Post: https://www.facebook.com/groups/1509295342654810/permalink/4088008034783515/",https://www.facebook.com/groups/833864336729782/permalink/9607591409356987/
"
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9246311432141210/",https://www.facebook.com/groups/833864336729782/permalink/9607547639361364/
"Vamos ajudar a encontrar o Theo.Quem souber entrar em contato 18996209611.
with 3 Attachments: https://www.facebook.com/media/set/?set=pcb.9606787256104069&type=1",https://www.facebook.com/groups/833864336729782/permalink/9606787256104069/
"Vamos ajudar
with a Reel: https://www.facebook.com/reel/970504051549906",https://www.facebook.com/groups/833864336729782/permalink/9606239322825529/
"Vamos ajudar a encontrar tutor
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9246311432141210/",https://www.facebook.com/groups/833864336729782/permalink/9606789442770517/
"
with a Facebook Post: https://www.facebook.com/groups/2043080775816013/permalink/7752608724863161/",https://www.facebook.com/groups/833864336729782/permalink/9606946979421430/
"Essa cachorrinha está abandonada na avenida coronel Marcondes perto do radar está no final da coronel Marcondes estou de moto fui pega ela mas me mordeu porque está machucada por favor alguém resgata ela
with a Reel: https://www.facebook.com/reel/970504051549906",https://www.facebook.com/groups/833864336729782/permalink/9602938653155596/
"
with a Facebook Post: https://www.facebook.com/groups/209388335851663/permalink/7721485094641912/",https://www.facebook.com/groups/833864336729782/permalink/9606667386116056/
"Por favor, nos ajude 😔
with a Photo: https://www.facebook.com/photo/?fbid=9586719014782503&set=gm.9606494076133387&idorvanity=833864336729782",https://www.facebook.com/groups/833864336729782/permalink/9606494076133387/
"Vamos ajudar
with a Facebook Post: https://www.facebook.com/groups/animaisperdidospp/permalink/9224259377679749/",https://www.facebook.com/groups/833864336729782/permalink/9606409306141864/
"
with a Facebook Post: https://www.facebook.com/permalink.php?story_fbid=pfbid02LA7AFRCFY4wVpcPN2uamputXeKfVoEKR576xGFgBkmGC5G2Pbtv1v2YXyMSQyQBSl&id=100064662822600",https://www.facebook.com/groups/833864336729782/permalink/9606228586159936/
"
with a Facebook Post: https://www.facebook.com/permalink.php?story_fbid=pfbid0RW9vdYWNvv1N8M48dkVJkLV9XSq5CQbyZCuuSsNxRRFRA99fbS3f9GR3jaRZKB4hl&id=100040895393045",https://www.facebook.com/groups/833864336729782/permalink/9606207972828664/
